id,rating,title,content,author,date,helpful_votes,verified_purchase
r001,5,운동할 때 최고,러닝하면서 매일 2시간씩 쓰는데 땀이 흘러도 귀에서 빠지지 않습니다. 이어팁이 잘 잡아줘서 격한 움직임에도 안정적이에요.,윤지우23,2025-02-03,17,true
r002,4,음질 좋지만 통화 품질은 아쉬워요,음악 들을 때는 만족스럽습니다. 다만 바람 부는 야외에서 통화하면 상대방이 잘 안 들린다고 하네요.,권주원36,2025-03-05,34,true
r003,5,노이즈 캔슬링 대박,지하철 2호선 출퇴근에 쓰는데 지하 구간 소음이 거의 사라집니다. 이 가격대에 이 정도 ANC면 훌륭해요.,고수아49,2026-04-07,51,true
r004,3,귀가 작으면 불편할 수 있어요,기본 이어팁이 커서 30분만 껴도 귀가 아팠습니다. S 사이즈로 바꾸니 괜찮아졌어요. 귀 작은 분은 참고하세요.,박현우62,2025-05-09,68,true
r005,5,에어팟보다 나은 것 같아요,에어팟 프로 2세대 쓰다가 넘어왔는데 저음이 더 단단합니다. 가격은 절반인데 만족도는 비슷해요.,임서준75,2025-06-11,85,true
r006,4,방수는 IPX4 정도,비 오는 날 잠깐 걷는 정도는 문제없었습니다. 다만 수영이나 샤워는 절대 안 됩니다.,안시윤88,2026-07-13,102,true
r007,2,블루투스 연결이 자주 끊겨요,사람 많은 강남역 근처에서 3분에 한 번씩 끊깁니다. 실내에서는 괜찮은데 혼잡한 곳에서는 스트레스받아요.,양서연11,2025-08-15,119,true
r008,5,가성비 최고입니다,"이 가격에 노이즈 캔슬링, 멀티포인트, 무선 충전까지 다 됩니다. 더 바랄 게 없어요.",정시우24,2025-09-17,136,true
r009,4,케이스가 좀 미끄러워요,이어폰 자체는 훌륭한데 케이스 재질이 매끈해서 두 번 떨어뜨렸습니다. 케이스 커버 필수입니다.,오지호37,2026-10-19,10,false
r010,5,배터리가 진짜 오래 가요,"완충하면 이어폰 단독 8시간, 케이스 포함하면 32시간 정도 씁니다. 일주일에 한 번만 충전해요.",류건우50,2025-11-21,27,true
r011,5,저음이 풍부해요,베이스가 정말 좋습니다. 힙합이나 EDM 들을 때 특히 만족스러워요.,배유진63,2025-12-23,44,true
